DATASET_EN,DATASET_TC,NAME_EN,NAME_TC,ADDRESS_EN,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,Title,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,Latitude,Longitude,LASTUPDATE,NORTHING,EASTING,GeometryEasting,GeometryNorthing
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP NO.1, M1 & M2 FLOOR, TSUI PING NORTH SHOPPING CIRCUIT, TSUI PING (NORTH) ESTATE, 19 TSUI PING ROAD, KOWLOON",九龍翠屏道19號翠屏北邨 翠屏北商場M1 及 M2樓1號舖,Kwun Tong,觀塘區,2251170390,2251170390,51,51,RL,RL,Phoenix Garden Restaurant,鳳苑酒家,,,9/7/2025,9/7/2025,22.3165412,114.2296358,28/5/2024,819728.3728828836,841704.0903516049,841704.0904000001,819728.3728999998
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"PORTION OF G/F & 1/F, 165 NGAU TAU KOK ROAD, KWUN TONG, KOWLOON",九龍觀塘 牛頭角道165號一樓及地下(部份),Kwun Tong,觀塘區,2251065003,2251065003,51,51,RL,RL,Golden Seafood Restaurant,金閣海鮮酒家,,,30/6/2025,30/6/2025,22.3235924,114.2165276,28/6/2024,820508.7714423339,840353.3273166297,840353.3273,820508.7714000009
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F (PORTION), WARWICK HOTEL, EAST BAY, CHEUNG CHAU, NEW TERRITORIES",長洲東灣華威酒店地下(部分),Islands,離島區,2217800299,2217800299,17,17,RL,RL,Warwick Hotel,華威酒店,,,19/6/2025,19/6/2025,22.2077695,114.0322865,3/6/2024,807689.8111512129,821359.3752,821359.3751999997,807689.8112000003
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F., 4 SOK KWU WAN FIRST STREET, SOK KWU WAN, LAMMA ISLAND, NEW TERRITORIES",南丫島索罟灣第一街4號地下,Islands,離島區,2217001078,2217001078,17,17,RL,RL,Wai Kee Sea Food Restaurant,威記海鮮酒家,,,30/6/2025,30/6/2025,22.2048183,114.1310783,20/6/2024,807356.6218289544,831545.8219211575,831545.8218999999,807356.6217999998
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"43 YUNG SHUE WAN MAIN STREET, YUNG SHUE WAN, LAMMA ISLAND, NEW TERRITORIES",南丫島榕樹灣大街43號,Islands,離島區,2217000552,2217000552,17,17,RL,RL,壽記海鮮酒家,壽記海鮮酒家,,,30/6/2025,30/6/2025,22.2258436,114.1117214,21/6/2024,809685.5528369594,829550.8679256099,829550.8679,809685.5527999997
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F., AND THE OUTSIDE SEATING ACCOMMODATION ON PLATFORM AT SIDE, 58 YUNG SHUE WAN MAIN STREET, YUNG SHUE WAN, LAMMA ISLAND, NEW TERRITORIES",南丫島榕樹灣大街58號地下 及其舖側平台露天座位地方,Islands,離島區,2217001917,2217001917,17,17,RL,RL,Waterfront Restaurant & Bar,海灣餐廳酒吧,#A,#A,16/1/2026,16/1/2026,22.2253162,114.1113977,15/1/2025,809627.1663890217,829517.4698864289,829517.4698999999,809627.1664000005
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F. (PORTION), SILVERMINE BEACH RESORT, DD 2, LOT 648, MUI WO, LANTAU ISLAND, NEW TERRITORIES",大嶼山梅窩銀鑛灣2約648地段銀鑛灣渡假酒店地下(部分),Islands,離島區,2217000880,2217000880,17,17,RL,RL,Silvermine Beach Resort,銀鑛灣渡假酒店,,,30/6/2025,30/6/2025,22.267998,113.998091,26/6/2024,814362.9118180918,817841.3024208073,817841.3024000004,814362.9118000008
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F., 5 YUNG SHUE WAN MAIN STREET, YUNG SHUE WAN, LAMMA ISLAND, NEW TERRITORIES",南丫島榕樹灣大街5號地下,Islands,離島區,2217000640,2217000640,17,17,RL,RL,Lamma Seaview Man Fung Seafood Restaurant,南丫海景民豐海鮮酒家,,,30/6/2025,30/6/2025,22.2269144,114.1113511,10/7/2024,809804.1426956337,829512.742,829512.7419999996,809804.1426999997
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"PORTION OF B/F, G/F, 1/F & 2/F, REGAL AIRPORT HOTEL, 9 CHEONG TAT ROAD, CHEK LAP KOK, LANTAU ISLAND, NEW TERRITORIES",大嶼山赤鱲角暢達路9號 富豪機場酒店地庫(部分)、地下、1樓及2樓,Islands,離島區,2217001494,2217001494,17,17,RL,RL,Regal Airport Hotel,富豪機場酒店,#F#G#H,#F#G#H,15/7/2025,15/7/2025,22.3186949,113.9343274,11/7/2024,819985.9906403992,811278.3562179933,811278.3562000003,819985.9905999992
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F & 1/F., 16 YUNG SHUE WAN MAIN STREET, YUNG SHUE WAN, LAMMA ISLAND, NEW TERRITORIES",南丫島榕樹灣大街16號地下及1樓,Islands,離島區,2217001458,2217001458,17,17,RL,RL,舢舨海鮮酒家,舢舨海鮮酒家,,,30/6/2025,30/6/2025,22.2267118,114.1113977,20/6/2024,809781.7060167592,829517.5366412955,829517.5366000002,809781.7060000002
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F., DD 313, LOT 769, 16-18 TAI O WING ON STREET, TAI O, LANTAU ISLAND, NEW TERRITORIES",大嶼山大澳永安街16-18號313約769地段地下,Islands,離島區,2217001625,2217001625,17,17,RL,RL,Venice Seafood Restaurant,威尼斯海鮮酒家,,,15/10/2025,15/10/2025,22.2535405,113.8620453,20/9/2024,812784.8443,803816.041,803816.0410000002,812784.8443
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP 17-20, AND THE OUTSIDE SEATING ACCOMMODATIONIN FRONT OF THE PREMISES, DD 4, LOT 710, MUI WO, LANTAU ISLAND, NEW TERRITORIES",大嶼山梅窩4約710地段17-20號 及其鋪前露天座位,Islands,離島區,2217001351,2217001351,17,17,RL,RL,銀城海鮮酒家,銀城海鮮酒家,#A,#A,30/6/2025,30/6/2025,22.266032,113.9947441,21/6/2024,814145.6196467028,817496.0838079232,817496.0838000001,814145.6195999999
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"MINOR PORTION  OF B/F AND SHOP G03 OF G/F, REGAL AIRPORT HOTEL, 9 CHEONG TAT ROAD, CHEK LAP KOK, LANTAU ISLAND, NEW TERRITORIES",大嶼山赤鱲角香港國際機場暢達路9號 富豪機場酒店地庫(小部分)及地下G03號舖,Islands,離島區,2217000136,2217000136,17,17,RL,RL,China Coast Bar & Grill,華岸酒吧扒房,#F,#F,1/3/2026,1/3/2026,22.3186949,113.9343274,7/2/2025,819985.9906403992,811278.3562179933,811278.3562000003,819985.9905999992
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP G01, G/F., REGAL AIRPORT HOTEL, 9 CHEONG TAT ROAD, CHEK LAP KOK, LANTAU ISLAND, NEW TERRITORIES",大嶼山赤鱲角暢達路9號 富豪機場酒店地下G01號舖,Islands,離島區,2217001722,2217001722,17,17,RL,RL,Airport Izakaya,空港居酒屋,#G#H,#G#H,22/11/2025,22/11/2025,22.3186949,113.9343274,11/11/2024,819985.9906403992,811278.3562179933,811278.3562000003,819985.9905999992
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F, 1/F, 94 MA TAU CHUNG ROAD, 90-98 MA TAU CHUNG ROAD, KOWLOON CITY, KOWLOON",九龍馬頭涌道90至98號1樓及94號地下,Kowloon City,九龍城區,2252183698,2252183698,52,52,RL,RL,SUNG WONG TOI DRAGON PALACE RESTAURANT,宋皇台龍寶酒家,,,11/8/2025,11/8/2025,22.323971,114.18873,4/7/2024,820550.2057821272,837489.4397539314,837489.4397999998,820550.2058000006
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F & C/L(FRONT PORTION), 1-3 HAU WONG ROAD, KOWLOON CITY, KOWLOON",九龍侯王道1至3號 地下及閣樓(前部份),Kowloon City,九龍城區,2252146189,2252146189,52,52,RL,RL,Chiu Chow Lok Hau Fook Restaurant,潮州樂口福酒家,,,30/6/2025,30/6/2025,22.3279365,114.1885813,25/6/2024,820989.3233177722,837474.0855705967,837474.0855999999,820989.3233000003
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"27-29,G/F(REAR PORTION),31-37,(G/F) & 27-37,1/F., GILLIES AVE., HUNG HOM, KOWLOON CITY, KOWLOON","九龍機利士路27號至29號地下(後座), 31-37號地下及27-37號1樓",Kowloon City,九龍城區,2252059630,2252059630,52,52,RL,RL,Ho King Restaurant,好景酒家,,,30/6/2025,30/6/2025,22.307038,114.1841822,13/6/2024,818675.1064145656,837020.9893455298,837020.9892999995,818675.1063999999
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F & C/L, 28A PAK TAI STREET, TOKWAWAN, KOWLOON CITY, KOWLOON",九龍土瓜灣北帝街28號A 地下及閣樓,Kowloon City,九龍城區,2252256806,2252256806,52,52,RL,RL,WONG HING HOT POT,煌興火鍋菜館,,,17/12/2025,17/12/2025,22.3205486,114.1882634,26/11/2024,820171.2235539234,837441.3965,837441.3964999998,820171.2236000001
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"1/F, 75 WATERLOO RD, KOWLOON CITY, KOWLOON",九龍窩打老道75號1樓,Kowloon City,九龍城區,2252152975,2252152975,52,52,RL,RL,Metropark Hotel Kowloon (House of Tang),九龍維景酒店 (唐宮中餐廳),,,30/6/2025,30/6/2025,22.3195531,114.1758437,25/6/2024,820060.9428631169,836161.8122,836161.8121999996,820060.9429000001
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F, HONGWAY GARDEN, 7 ON TAI STREET, WESTERN, HONG KONG",香港安泰街7號 康威花園地下,Central/Western,中西區,2214119743,2214119743,18,18,RL,RL,Victoria Harbour Restaurant,海港酒家,,,4/12/2025,4/12/2025,22.2872136,114.1497253,20/11/2024,816480.0958882545,833470.2094762315,833470.2094999999,816480.0958999991
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"PTN. OF 3,5,6 &39, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG","香港金鐘道88號 港島香格里拉大酒店 3,5,6及39部份",Central/Western,中西區,2213102063,2213102063,18,18,RL,RL,ISLAND SHANGRI-LA HOTEL,港島香格里拉大酒店,#D#E#F#G#H,#D#E#F#G#H,4/9/2025,4/9/2025,22.2771904,114.1644241,29/8/2024,815369.9870124101,834984.8737836061,834984.8738000002,815369.9869999997
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"LEVEL 7 (PTN), ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",香港金鐘道88號 港島香格里拉大酒店 第7層(部份),Central/Western,中西區,2213102009,2213102009,18,18,RL,RL,ISLAND SHANGRI-LA HOTEL,港島香格里拉大酒店,#D#E#F#G#H,#D#E#F#G#H,28/8/2025,28/8/2025,22.277509,114.166341,28/1/2025,815405.2519403895,835182.4326,835182.4326,815405.2519000005
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"PTN. OF LEVEL 3-5, 5M, 6-8 & 59, CONRAD INTERNATIONAL HONG KONG, 88 QUEENSWAY, CENTRAL, HONG KONG","香港金鐘道88號 太古廣場港麗酒店 3-5層部份5M,6-8及59層",Central/Western,中西區,2213092674,2213092674,18,18,RL,RL,CONRAD HONG KONG,港麗酒店,#F#G#H,#F#G#H,30/6/2025,30/6/2025,22.2768163,114.1653766,26/6/2024,815328.5536,835083.0356196751,835083.0356000001,815328.5536000002
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP 243, 2/F, THE WESTWOOD, 8 BELCHER'S STREET, WESTERN, HONG KONG",香港卑路乍街8號 西寶城2字樓243號舖,Central/Western,中西區,2214198216,2214198216,18,18,RL,RL,海港酒家,海港酒家,,,11/3/2025,11/3/2025,22.284968,114.1332523,20/2/2024,816231.8281614268,831772.5455,831772.5455,816231.8281999994
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"PTNS. OF LEVEL 5 & LEVEL 6, ISLAND SHANGRI-LA HOTEL, 88 QUEENSWAY, CENTRAL, HONG KONG",香港金鐘道88號 港島香格里拉大酒店第5層部份及第6層,Central/Western,中西區,2213101990,2213101990,18,18,RL,RL,ISLAND SHANGRI-LA HOTEL,港島香格里拉大酒店,#D#F#G#H,#D#F#G#H,28/8/2025,28/8/2025,22.2771904,114.1644241,12/8/2024,815369.9870124101,834984.8737836061,834984.8738000002,815369.9869999997
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP NOS. 3008-3011, PODIUM LEVEL 3, IFC MALL, 1 HARBOUR VIEW STREET, CENTRAL, HONG KONG",香港中環港景街一號 國際金融中心商場三樓3008至3011店,Central/Western,中西區,2218800065,2218800065,18,18,RL,RL,LEI GARDEN RESTAURANT,利苑酒家,,,2/6/2025,2/6/2025,22.2850961,114.158576,16/5/2024,816245.4792319771,834382.2723358759,834382.2723000003,816245.4792
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"LEVEL 3, PACIFIC PLACE, 88 QUEENSWAY, CENTRAL, HONG KONG",香港金鐘道88號 太古廣場第三層,Central/Western,中西區,2213084280,2213084280,18,18,RL,RL,JW MARRIOTT HOTEL HONG KONG,萬豪酒店,,,30/6/2025,30/6/2025,22.277152,114.1648871,27/6/2024,815365.7309797305,835032.5903855145,835032.5904000001,815365.7310000006
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"4/F, UNITED CENTRE, 95 QUEENSWAY, CENTRAL, HONG KONG",香港金鐘道95號統一中心4樓,Central/Western,中西區,2213086426,2213086426,18,18,RL,RL,METROPOL RESTAURANT,名都酒樓,,,30/6/2025,30/6/2025,22.2784312,114.1654177,18/6/2024,815507.3778389378,835087.2849112625,835087.2849000003,815507.3778000008
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F (PORT), 1/F, MONG LUNG STREET, 110-112 SHAU KEI WAN MAIN STREET EAST, HONG KONG",香港筲箕灣 筲箕灣東大街110至112號及 望隆街地下(部分)及1樓,Eastern,東區,2211034351,2211034351,11,11,RL,RL,百匯酒家,百匯酒家,,,30/6/2025,30/6/2025,22.2786286,114.2299008,25/10/2024,815530.1528363372,841732.8692435671,841732.8691999996,815530.1527999993
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP NO. 201, 2/F, HING TUNG SHOPPING CENTRE, HING TUNG ESTATE, SHAU KEI WAN, HONG KONG",香港興東邨 興東商場2樓201號鋪,Eastern,東區,2211140915,2211140915,11,11,RL,RL,Grand Pleasure Seafood Restaurant,君悅海鮮酒家,,,9/11/2025,9/11/2025,22.2807126,114.2200446,25/10/2024,815760.5992202647,840717.0300857503,840717.0301000001,815760.5991999991
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F - 2/F, ANNEX RESTAURANT AT YU WAN EST, CHAI WAN, HONG KONG",香港柴灣 漁灣邨附屬酒樓地下至2樓,Eastern,東區,2211037475,2211037475,11,11,RL,RL,德聲海鮮酒家,德聲海鮮酒家,,,30/6/2025,30/6/2025,22.265622,114.24105,3/7/2024,814090.3247967134,842882.5101322756,842882.5100999996,814090.3247999996
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"2/F, IBIS NORTH POINT, 136-144 JAVA ROAD, NORTH POINT, HONG KONG",香港北角 渣華道136-144號 宜必思香港北角酒店2樓,Eastern,東區,2211198844,2211198844,11,11,RL,RL,Ibis North Point,宜必思香港北角酒店,,,25/3/2025,25/3/2025,22.2922565,114.2007117,20/2/2024,817038.4618356507,838724.4224434781,838724.4223999996,817038.4617999997
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP A, G/F & M/F, ELLEN BLDG, 192-198 SHAU KEI WAN ROAD, HONG KONG",香港筲箕灣 筲箕灣道192至198號 延齡大廈地下A鋪及閣樓,Eastern,東區,2211090009,2211090009,11,11,RL,RL,HARMONY RESTAURANT,正和酒家,,,30/6/2025,30/6/2025,22.2805876,114.2234697,27/6/2024,815746.8624010491,841070.0175555206,841070.0175999999,815746.8624000009
