DATASET_EN,DATASET_TC,NAME_EN,NAME_TC,ADDRESS_EN,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,Title,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,LATITUDE,Latitude,Longitude,NORTHING,EASTING,GeometryEasting,GeometryNorthing
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"ROOM 11, 18/F, BLOCK B, WAH LUEN INDUSTRIAL CENTRE, 15-21 WONG CHUK YEUNG STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭黃竹洋街15-21號華聯工業中心 B座18樓11室,Sha Tin,沙田區,2997809774,2997809774,97,97,FF,FF,海興隆食品有限公司,海興隆食品有限公司,,,28/9/2025,28/9/2025,22.3979187,114.1895523,31/7/2024,828738.8296269311,837573.4664505966,837573.4665000001,828738.8296000008
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"UNIT 414-416, 4/F, LEADER INDUSTRIAL CENTRE, 57-59 AU PUI WAN STREET, FO TAN, NEW TERRITORIES",新界火炭坳背灣街57-59號利達工業中心4樓414-416室,Sha Tin,沙田區,2997809613,2997809613,97,97,FF,FF,MOON KEE FROZEN MEAT LTD,滿記凍肉有限公司,,,12/7/2025,12/7/2025,22.399056,114.192882,6/5/2024,828864.8022026145,837916.3177312115,837916.3176999995,828864.8022000007
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"STALL NO. 84, G/F, LUNG HANG ESTATE MARKET, SHA TIN, NEW TERRITORIES",新界沙田隆亨邨街市地下84號鋪,Sha Tin,沙田區,2997809844,2997809844,97,97,FF,FF,嘉餸,嘉餸,,,28/10/2025,28/10/2025,22.3686363,114.179836,5/9/2024,825496.1746251477,836573.0276539342,836573.0277000004,825496.1745999996
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"STALL NO. S-CS 04, GROUND FLOOR, MARKET PLACE OF CHUN SHEK SHOPPING CENTRE, CHUN SHEK ESTATE, 1 SHING TIN STREET, SHA TIN, NEW TERRITORIES",新界沙田盛田街1號秦石邨秦石商場街市地下 S-CS 04號檔位,Sha Tin,沙田區,2997810972,2997810972,97,97,FF,FF,泰屋 2,泰屋 2,,,11/1/2026,11/1/2026,22.3734582,114.1864793,8/1/2025,826030.1583223302,837257.2082,837257.2082000002,826030.1582999993
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"STALL NO. S-CS 23, GROUND FLOOR, MARKET PLACE OF CHUN SHEK SHOPPING CENTRE, CHUN SHEK ESTATE, 1 SHING TIN STREET, SHA TIN, NEW TERRITORIES",新界沙田盛田街1號秦石邨秦石商場街市地下 S-CS 23號檔位,Sha Tin,沙田區,2997810981,2997810981,97,97,FF,FF,琪味小食,琪味小食,,,11/1/2026,11/1/2026,22.3734582,114.1864793,8/1/2025,826030.1583223302,837257.2082,837257.2082000002,826030.1582999993
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"SHOP NO. A312, LEVEL 3, NEW TOWN PLAZA, PHASE III, SHA TIN, NEW TERRITORIES",新界沙田新城市廣場第3期第3層A312號鋪,Sha Tin,沙田區,2997811197,2997811197,97,97,FF,FF,Comebuy Tea,Comebuy Tea,,,22/3/2026,22/3/2026,22.379537,114.187559,22/1/2025,826703.3045602744,837368.3581720254,837368.3581999997,826703.3046000004
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"UNIT 01, 1/F, CHINACHEM WAH YIU INDUSTRIAL CENTRE, 30-32 AU PUI WAN STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭坳背灣街30-32號華懋華耀工業中心1樓01室,Sha Tin,沙田區,2997811221,2997811221,97,97,FF,FF,AUNEW FOOD LIMITED,澳新食品有限公司,,,3/4/2025,3/4/2025,22.3991436,114.1938104,21/2/2024,828874.5131539598,838011.9147439151,838011.9146999996,828874.5131999999
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"FLAT J, 8/F, FU CHEUNG CENTRE, 5-7 WONG CHUK YEUNG STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭黃竹洋街5-7號富昌中心8樓J室,Sha Tin,沙田區,2997811267,2997811267,97,97,FF,FF,味鮮食品公司,味鮮食品公司,,,7/4/2025,7/4/2025,22.3971518,114.1904734,10/4/2024,828653.9146945083,837668.3213446549,837668.3213,828653.9146999996
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"SHOP NOS. 2D AND 3A, GROUND FLOOR, COMMERICAL / CAR PARK BLOCK (ALSO KNOWN AS CHUNG ON SHOPPING CENTRE), CHUNG ON ESTATE, SAI SHA ROAD, SHA TIN, NEW TERRITORIES",新界沙田西沙路頌安邨商業/停車場(也稱為頌安商場) 地下2D及3A號舖,Sha Tin,沙田區,2997810583,2997810583,97,97,FF,FF,SAINT HONORE CAKE SHOP,聖安娜餅屋,,,23/9/2025,23/9/2025,22.42244844,114.2268497,20/8/2024,831455.9545073182,841413.1420536014,841413.1420999998,831455.9545000009
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"FLAT 2-3, 9/F, TRANSPORT CITY BUILDING, 1-7 SHING WAN ROAD, TAI WAI, SHA TIN, NEW TERRITORIES",新界沙田大圍成運路1-7號交通城9樓2-3號室,Sha Tin,沙田區,2997810811,2997810811,97,97,FF,FF,Kloud,Kloud,#G#H,#G#H,12/12/2025,12/12/2025,22.3762418,114.1815563,7/10/2024,826338.3772837877,836750.1804,836750.1804,826338.3772999998
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"STALL NO. S-CS 19 (PORTION A), GROUND FLOOR, MARKET PLACE OF CHUN SHEK SHOPPING CENTRE, CHUN SHEK ESTATE, 1 SHING TIN STREET, SHA TIN, NEW TERRITORIES",新界沙田盛田街1號秦石邨秦石商場街市地下 S-CS 19號檔位(A部份),Sha Tin,沙田區,2997811160,2997811160,97,97,FF,FF,秦石燒臘,秦石燒臘,,,2/3/2025,2/3/2025,22.3734582,114.1864793,22/2/2024,826030.1583223302,837257.2082,837257.2082000002,826030.1582999993
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"SHOP NO. 18C1, GROUND FLOOR, CHEVALIER GARDEN, NO. 2 HANG SHUN STREET, SHA TIN, NEW TERRITORIES",新界沙田恆信街2號富安花園地下18C1號鋪,Sha Tin,沙田區,2997810875,2997810875,97,97,FF,FF,味滿軒,味滿軒,,,21/12/2025,21/12/2025,22.4046628,114.222448,15/1/2025,829486.3000962122,840960.5648050162,840960.5647999998,829486.3001000006
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"UNIT H - I, 2/F, FU CHEUNG CENTRE, 5-7 WONG CHUK YEUNG STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭黃竹洋街5-7號富昌中心2樓H-I室,Sha Tin,沙田區,2997811346,2997811346,97,97,FF,FF,A-1 Bakery Co. (HK) Limited,英王麵包(香港)有限公司,,,2/5/2025,2/5/2025,22.3971518,114.1904734,5/4/2024,828653.9146945083,837668.3213446549,837668.3213,828653.9146999996
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"STALL NO. 17, G/F, MARKET, JAT MIN CHUEN, 9 JAT MIN CHUEN STREET, SHA TIN, NEW TERRITORIES",新界沙田乙明邨街9號乙明邨街市地下17號檔,Sha Tin,沙田區,2997809561,2997809561,97,97,FF,FF,Food Station,必食站,,,1/6/2025,1/6/2025,22.3765704,114.1917577,22/5/2024,826374.8335298694,837800.7946557838,837800.7947000004,826374.8334999997
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"PORTION A OF SHOP NO. 2, 2/F, DOUBLE COVE PLACE, LOK WO SHA, MA ON SHAN, SHA TIN, NEW TERRITORIES",新界沙田馬鞍山  落禾沙 迎海薈 二樓店舖2號Ａ部份,Sha Tin,沙田區,2997809589,2997809589,97,97,FF,FF,Circle K Convenience Store,OK 便利店,,,9/6/2025,9/6/2025,22.4300282,114.2432523,21/5/2024,832295.9629635327,843101.4736004845,843101.4736000001,832295.9629999995
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"WORKSHOP NO. 2B&2D (MAJOR PORTION), G/F, TECHNOLOGY PARK, 18 ON LAI STREET, SHA TIN, NEW TERRITORIES",新界沙田安麗街18號達利廣場地下2B及2D室(主要部份）,Sha Tin,沙田區,2997810255,2997810255,97,97,FF,FF,Yingbo Food (HK) Limited,盈寶食品(香港)有限公司,,,30/5/2025,30/5/2025,22.3886925,114.207564,5/6/2024,827717.4278792925,839428.3698257308,839428.3698000005,827717.4278999995
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"SHOP NOS. 296-297, LEVEL 2, MA ON SHAN PLAZA, 608 SAI SHA ROAD, MA ON SHAN, NEW TERRITORIES",新界馬鞍山西沙路608號馬鞍山廣場第二層296-297號鋪,Sha Tin,沙田區,2997810839,2997810839,97,97,FF,FF,Panash,Panash,,,15/12/2025,15/12/2025,22.4254549,114.2317218,4/11/2024,831789.0536791134,841914.6164473948,841914.6163999997,831789.0537
